,time,pop,cruise,lat,lon,abundance,Qc_hour
48,2019-04-12 23:00:00+00:00,prochloro,KM1906,30.574505,201.999985,64.97109114282992,0.037125011125
49,2019-04-13 00:00:00+00:00,prochloro,KM1906,30.72823157894737,201.99978421052631,64.09399707213107,0.0402001865263157
50,2019-04-13 01:00:00+00:00,prochloro,KM1906,30.88336315789474,201.99996842105264,58.95472118729201,0.03764858
51,2019-04-13 02:00:00+00:00,prochloro,KM1906,31.028516666666665,201.9994333333333,55.7442796108984,0.0404036998333333
52,2019-04-13 03:00:00+00:00,prochloro,KM1906,31.09078,201.99907,59.77972638385402,0.043114134425
53,2019-04-13 04:00:00+00:00,prochloro,KM1906,31.09058421052632,201.9990210526316,59.67608523111037,0.0429598529736842
54,2019-04-13 05:00:00+00:00,prochloro,KM1906,31.090750000000003,201.999025,63.73468173070752,0.04383029075
55,2019-04-13 06:00:00+00:00,prochloro,KM1906,31.09047647058824,201.99893529411764,64.41121670209998,0.0430494341470588
56,2019-04-13 08:00:00+00:00,prochloro,KM1906,31.222036363636366,202.00032727272728,59.40685690018904,0.0361324784545454
57,2019-04-13 09:00:00+00:00,prochloro,KM1906,31.342715,201.999925,64.93193218077427,0.0378120683249999
58,2019-04-13 10:00:00+00:00,prochloro,KM1906,31.48841,201.999865,58.66391581520414,0.039624655825
59,2019-04-13 11:00:00+00:00,prochloro,KM1906,31.646775,202.00009,57.456400198379626,0.037896580175
60,2019-04-13 12:00:00+00:00,prochloro,KM1906,31.793794736842106,201.9998736842105,50.22449569900084,0.0378006964210526
61,2019-04-13 13:00:00+00:00,prochloro,KM1906,31.952245,201.99989,59.90852033691525,0.036621016775
62,2019-04-13 14:00:00+00:00,prochloro,KM1906,32.099805,201.99911,72.09722183299574,0.035524333
63,2019-04-13 15:00:00+00:00,prochloro,KM1906,32.25984,201.999495,67.01058612630084,0.03530617385
64,2019-04-13 16:00:00+00:00,prochloro,KM1906,32.407833333333336,202.00154444444445,64.76849391113512,0.0359877705555555
65,2019-04-13 17:00:00+00:00,prochloro,KM1906,32.58152777777778,201.99941666666663,61.962478576458025,0.0340402880555555
66,2019-04-13 18:00:00+00:00,prochloro,KM1906,32.72735,202.000205,54.7554150582428,0.0361311879
67,2019-04-13 19:00:00+00:00,prochloro,KM1906,32.881405,201.9999,51.99738064645969,0.036250077725
68,2019-04-13 20:00:00+00:00,prochloro,KM1906,33.026795,201.999885,55.37952757414098,0.037254501225
69,2019-04-13 21:00:00+00:00,prochloro,KM1906,33.184165,202.00012,55.7975455019326,0.0394970926
70,2019-04-13 22:00:00+00:00,prochloro,KM1906,33.32673157894737,202.0003157894737,61.530243712935,0.0388006149210526
71,2019-04-13 23:00:00+00:00,prochloro,KM1906,33.478547368421054,201.99994736842103,68.52452431780665,0.0437394594210526
72,2019-04-14 00:00:00+00:00,prochloro,KM1906,33.622695,201.999985,68.38315710819445,0.044166456175
73,2019-04-14 01:00:00+00:00,prochloro,KM1906,33.77973,202.00015,66.0473365280839,0.040720988875
74,2019-04-14 02:00:00+00:00,prochloro,KM1906,33.929385,202.00253,61.65332133470274,0.053524046
75,2019-04-14 03:00:00+00:00,prochloro,KM1906,34.08471052631579,202.0009736842105,37.34043856798129,0.0586000304473684
76,2019-04-14 04:00:00+00:00,prochloro,KM1906,34.228410000000004,201.999995,29.059684162008523,0.0591649658499999
77,2019-04-14 05:00:00+00:00,prochloro,KM1906,34.38931,201.99977,78.84633948146279,0.0572886691499999
78,2019-04-14 06:00:00+00:00,prochloro,KM1906,34.536655,201.999965,67.82518822765527,0.0570539229999999
79,2019-04-14 07:00:00+00:00,prochloro,KM1906,34.693505,202.00015,57.04554665659307,0.0594541319
80,2019-04-14 08:00:00+00:00,prochloro,KM1906,34.834775,202.00031,57.268889083650905,0.053968506875
81,2019-04-14 09:00:00+00:00,prochloro,KM1906,34.990275,201.99988,23.58659161204243,0.0576504295749999
82,2019-04-14 10:00:00+00:00,prochloro,KM1906,35.13765,201.999895,15.537517184193712,0.0590881822249999
83,2019-04-14 11:00:00+00:00,prochloro,KM1906,35.29569,202.000095,24.60522013064669,0.059611137275
84,2019-04-14 12:00:00+00:00,prochloro,KM1906,35.440915000000004,201.99993,23.15802043330052,0.058133300075
85,2019-04-14 13:00:00+00:00,prochloro,KM1906,35.59803,201.999595,20.74635134416096,0.0557884828
86,2019-04-14 14:00:00+00:00,prochloro,KM1906,35.75013,202.002725,40.70203034709526,0.053443405425
87,2019-04-14 15:00:00+00:00,prochloro,KM1906,35.9102,202.000725,47.932020892335295,0.051062266875
88,2019-04-14 16:00:00+00:00,prochloro,KM1906,36.0442,201.99958125,45.26568148804037,0.03889004925
89,2019-04-14 17:00:00+00:00,prochloro,KM1906,36.22751176470588,201.9998647058824,41.29668577995628,0.0475711347941176
90,2019-04-14 18:00:00+00:00,prochloro,KM1906,36.371,202.00027,67.6500637934609,0.04719644515
91,2019-04-14 19:00:00+00:00,prochloro,KM1906,36.52953,202.00013,67.88339281320383,0.04642744755
92,2019-04-14 20:00:00+00:00,prochloro,KM1906,36.682775,202.00002,32.50294121844138,0.055571960325
93,2019-04-14 21:00:00+00:00,prochloro,KM1906,36.77912,201.99962,33.06727605245644,0.0563063297
94,2019-04-14 22:00:00+00:00,prochloro,KM1906,36.91057894736842,201.9991947368421,24.77371992509904,0.0563398409473684
95,2019-04-14 23:00:00+00:00,prochloro,KM1906,36.91064210526316,201.99921578947368,20.54428087409054,0.0587356436052631
